기준일,종목명,종목코드,시장,종가,직전20일고가,20일돌파,거래량비율20일
2026-03-24,KCC,002380,KS,517000.0,680000.0,0,0.46
2026-03-25,KCC,002380,KS,533000.0,680000.0,0,0.83
2026-03-26,KCC,002380,KS,525000.0,680000.0,0,0.57
2026-03-27,KCC,002380,KS,525000.0,680000.0,0,0.77
2026-03-30,KCC,002380,KS,500000.0,651000.0,0,0.8
2026-03-31,KCC,002380,KS,482000.0,583000.0,0,0.81
2026-04-01,KCC,002380,KS,504000.0,560000.0,0,0.86
2026-04-02,KCC,002380,KS,462500.0,560000.0,0,2.22
2026-04-03,KCC,002380,KS,464000.0,560000.0,0,0.88
2026-04-06,KCC,002380,KS,457000.0,560000.0,0,1.03
2026-04-07,KCC,002380,KS,461000.0,560000.0,0,0.94
2026-04-08,KCC,002380,KS,518000.0,560000.0,0,1.5
2026-04-09,KCC,002380,KS,521000.0,558000.0,0,1.17
2026-04-10,KCC,002380,KS,526000.0,558000.0,0,0.81
2026-04-13,KCC,002380,KS,504000.0,558000.0,0,1.02
2026-04-14,KCC,002380,KS,542000.0,558000.0,0,1.13
2026-04-15,KCC,002380,KS,547000.0,558000.0,0,0.99
2026-04-16,KCC,002380,KS,560000.0,547000.0,1,1.03
2026-04-17,KCC,002380,KS,541000.0,560000.0,0,1.29
2026-04-20,KCC,002380,KS,554000.0,560000.0,0,1.36
2026-04-21,KCC,002380,KS,555000.0,560000.0,0,1.18
2026-04-22,KCC,002380,KS,551000.0,560000.0,0,0.93
2026-04-23,KCC,002380,KS,561000.0,560000.0,1,1.09
2026-04-24,KCC,002380,KS,557000.0,561000.0,0,0.6
2026-04-27,KCC,002380,KS,552000.0,561000.0,0,0.72
2026-04-28,KCC,002380,KS,553000.0,561000.0,0,0.7
2026-04-29,KCC,002380,KS,576000.0,561000.0,1,1.1
2026-04-30,KCC,002380,KS,555000.0,576000.0,0,0.81
2026-05-04,KCC,002380,KS,574000.0,576000.0,0,0.98
2026-05-06,KCC,002380,KS,623000.0,576000.0,1,3.26
2026-03-24,한화,000880,KS,114600.0,139200.0,0,0.47
2026-03-25,한화,000880,KS,116700.0,139200.0,0,0.61
2026-03-26,한화,000880,KS,111100.0,139200.0,0,1.02
2026-03-27,한화,000880,KS,111500.0,139200.0,0,1.21
2026-03-30,한화,000880,KS,109300.0,138500.0,0,0.8
2026-03-31,한화,000880,KS,107100.0,138500.0,0,0.87
2026-04-01,한화,000880,KS,113800.0,132600.0,0,0.89
2026-04-02,한화,000880,KS,110900.0,132600.0,0,0.95
2026-04-03,한화,000880,KS,113700.0,132600.0,0,0.76
2026-04-06,한화,000880,KS,115100.0,129600.0,0,0.38
2026-04-07,한화,000880,KS,115500.0,129600.0,0,0.76
2026-04-08,한화,000880,KS,123800.0,129600.0,0,1.19
2026-04-09,한화,000880,KS,121200.0,128600.0,0,0.74
2026-04-10,한화,000880,KS,125600.0,125600.0,1,0.91
2026-04-13,한화,000880,KS,122500.0,125600.0,0,1.0
2026-04-14,한화,000880,KS,123900.0,125600.0,0,1.1
2026-04-15,한화,000880,KS,126700.0,125600.0,1,0.77
2026-04-16,한화,000880,KS,133600.0,126700.0,1,1.27
2026-04-17,한화,000880,KS,131600.0,133600.0,0,0.83
2026-04-20,한화,000880,KS,129700.0,133600.0,0,0.44
2026-04-21,한화,000880,KS,130500.0,133600.0,0,0.71
2026-04-22,한화,000880,KS,128100.0,133600.0,0,0.92
2026-04-23,한화,000880,KS,128100.0,133600.0,0,0.74
2026-04-24,한화,000880,KS,131100.0,133600.0,0,1.04
2026-04-27,한화,000880,KS,131800.0,133600.0,0,0.87
2026-04-28,한화,000880,KS,129100.0,133600.0,0,0.71
2026-04-29,한화,000880,KS,132500.0,133600.0,0,1.05
2026-04-30,한화,000880,KS,133400.0,133600.0,0,1.91
2026-05-04,한화,000880,KS,139900.0,133600.0,1,1.39
2026-05-06,한화,000880,KS,140600.0,139900.0,1,1.9
2026-03-24,한화생명,088350,KS,4845.0,5970.0,0,0.35
2026-03-25,한화생명,088350,KS,4970.0,5320.0,0,0.57
2026-03-26,한화생명,088350,KS,4730.0,5250.0,0,0.45
2026-03-27,한화생명,088350,KS,4720.0,5250.0,0,0.42
2026-03-30,한화생명,088350,KS,4560.0,5250.0,0,0.38
