기준일,종목명,종목코드,시장,종가,직전20일고가,20일돌파,거래량비율20일
2026-03-16,일진홀딩스,015860,KS,7280.0,9340.0,0,0.55
2026-03-17,일진홀딩스,015860,KS,7240.0,9340.0,0,0.28
2026-03-18,일진홀딩스,015860,KS,7610.0,9340.0,0,0.47
2026-03-19,일진홀딩스,015860,KS,7280.0,9340.0,0,0.56
2026-03-20,일진홀딩스,015860,KS,7660.0,9340.0,0,0.6
2026-03-23,일진홀딩스,015860,KS,7200.0,9340.0,0,0.57
2026-03-24,일진홀딩스,015860,KS,7180.0,9340.0,0,0.6
2026-03-25,일진홀딩스,015860,KS,7360.0,9280.0,0,0.27
2026-03-26,일진홀딩스,015860,KS,7220.0,9280.0,0,0.63
2026-03-27,일진홀딩스,015860,KS,7080.0,9240.0,0,0.68
2026-03-30,일진홀딩스,015860,KS,6750.0,9140.0,0,0.44
2026-03-31,일진홀딩스,015860,KS,6530.0,8820.0,0,0.81
2026-04-01,일진홀딩스,015860,KS,7020.0,8310.0,0,0.99
2026-04-02,일진홀딩스,015860,KS,6700.0,8310.0,0,0.84
2026-04-03,일진홀딩스,015860,KS,6750.0,8000.0,0,0.42
2026-04-06,일진홀딩스,015860,KS,7030.0,7730.0,0,1.12
2026-04-07,일진홀딩스,015860,KS,6970.0,7730.0,0,0.86
2026-04-08,일진홀딩스,015860,KS,7310.0,7700.0,0,0.7
2026-04-09,일진홀딩스,015860,KS,7100.0,7690.0,0,0.7
2026-04-10,일진홀딩스,015860,KS,7400.0,7660.0,0,0.76
2026-04-13,일진홀딩스,015860,KS,7490.0,7660.0,0,0.56
2026-04-14,일진홀딩스,015860,KS,7610.0,7660.0,0,1.16
2026-04-15,일진홀딩스,015860,KS,8500.0,7660.0,1,3.88
2026-04-16,일진홀딩스,015860,KS,8270.0,8500.0,0,1.25
2026-04-17,일진홀딩스,015860,KS,8210.0,8500.0,0,0.65
2026-04-20,일진홀딩스,015860,KS,8750.0,8500.0,1,3.0
2026-04-21,일진홀딩스,015860,KS,8610.0,8750.0,0,0.95
2026-04-22,일진홀딩스,015860,KS,8660.0,8750.0,0,0.62
2026-04-23,일진홀딩스,015860,KS,9150.0,8750.0,1,2.09
2026-04-24,일진홀딩스,015860,KS,9580.0,9150.0,1,1.88
2026-03-16,KG케미칼,001390,KS,5150.0,6100.0,0,0.58
2026-03-17,KG케미칼,001390,KS,5210.0,6100.0,0,0.31
2026-03-18,KG케미칼,001390,KS,5300.0,6100.0,0,0.44
2026-03-19,KG케미칼,001390,KS,5180.0,5980.0,0,0.53
2026-03-20,KG케미칼,001390,KS,5520.0,5950.0,0,0.87
2026-03-23,KG케미칼,001390,KS,5220.0,5950.0,0,0.87
2026-03-24,KG케미칼,001390,KS,5250.0,5850.0,0,0.49
2026-03-25,KG케미칼,001390,KS,5290.0,5810.0,0,0.4
2026-03-26,KG케미칼,001390,KS,5500.0,5810.0,0,3.43
2026-03-27,KG케미칼,001390,KS,5360.0,5690.0,0,1.15
2026-03-30,KG케미칼,001390,KS,5180.0,5520.0,0,0.83
2026-03-31,KG케미칼,001390,KS,4980.0,5520.0,0,0.44
2026-04-01,KG케미칼,001390,KS,5250.0,5520.0,0,0.46
2026-04-02,KG케미칼,001390,KS,5050.0,5520.0,0,0.36
2026-04-03,KG케미칼,001390,KS,5150.0,5520.0,0,0.23
2026-04-06,KG케미칼,001390,KS,5120.0,5520.0,0,0.26
2026-04-07,KG케미칼,001390,KS,5220.0,5520.0,0,0.55
2026-04-08,KG케미칼,001390,KS,5510.0,5520.0,0,1.04
2026-04-09,KG케미칼,001390,KS,5470.0,5520.0,0,0.59
2026-04-10,KG케미칼,001390,KS,5650.0,5520.0,1,0.61
2026-04-13,KG케미칼,001390,KS,5660.0,5650.0,1,1.05
2026-04-14,KG케미칼,001390,KS,5770.0,5660.0,1,0.88
2026-04-15,KG케미칼,001390,KS,5780.0,5770.0,1,0.58
2026-04-16,KG케미칼,001390,KS,5950.0,5780.0,1,0.7
2026-04-17,KG케미칼,001390,KS,5870.0,5950.0,0,0.77
2026-04-20,KG케미칼,001390,KS,5840.0,5950.0,0,0.39
2026-04-21,KG케미칼,001390,KS,5680.0,5950.0,0,0.56
2026-04-22,KG케미칼,001390,KS,5810.0,5950.0,0,0.63
2026-04-23,KG케미칼,001390,KS,5830.0,5950.0,0,0.62
2026-04-24,KG케미칼,001390,KS,6000.0,5950.0,1,1.77
2026-03-16,KG에코솔루션,151860,KQ,6050.0,7230.0,0,0.37
2026-03-17,KG에코솔루션,151860,KQ,6130.0,7230.0,0,0.35
2026-03-18,KG에코솔루션,151860,KQ,6280.0,7230.0,0,0.57
2026-03-19,KG에코솔루션,151860,KQ,6090.0,7230.0,0,0.41
2026-03-20,KG에코솔루션,151860,KQ,6940.0,7230.0,0,2.52
2026-03-23,KG에코솔루션,151860,KQ,6490.0,7230.0,0,1.23
2026-03-24,KG에코솔루션,151860,KQ,6410.0,7050.0,0,0.82
2026-03-25,KG에코솔루션,151860,KQ,6430.0,6940.0,0,0.48
2026-03-26,KG에코솔루션,151860,KQ,6410.0,6940.0,0,0.61
2026-03-27,KG에코솔루션,151860,KQ,6420.0,6940.0,0,0.53
2026-03-30,KG에코솔루션,151860,KQ,6200.0,6940.0,0,0.75
2026-03-31,KG에코솔루션,151860,KQ,5930.0,6940.0,0,0.76
2026-04-01,KG에코솔루션,151860,KQ,6270.0,6940.0,0,0.78
2026-04-02,KG에코솔루션,151860,KQ,5920.0,6940.0,0,0.98
2026-04-03,KG에코솔루션,151860,KQ,6160.0,6940.0,0,0.77
2026-04-06,KG에코솔루션,151860,KQ,6020.0,6940.0,0,0.66
2026-04-07,KG에코솔루션,151860,KQ,6020.0,6940.0,0,0.49
2026-04-08,KG에코솔루션,151860,KQ,6360.0,6940.0,0,1.06
2026-04-09,KG에코솔루션,151860,KQ,6280.0,6940.0,0,0.63
2026-04-10,KG에코솔루션,151860,KQ,6440.0,6940.0,0,0.79
2026-04-13,KG에코솔루션,151860,KQ,6460.0,6940.0,0,0.74
2026-04-14,KG에코솔루션,151860,KQ,6610.0,6940.0,0,0.95
2026-04-15,KG에코솔루션,151860,KQ,6570.0,6940.0,0,0.85
2026-04-16,KG에코솔루션,151860,KQ,6770.0,6940.0,0,1.01
2026-04-17,KG에코솔루션,151860,KQ,6900.0,6940.0,0,1.61
2026-04-20,KG에코솔루션,151860,KQ,6860.0,6900.0,0,1.33
2026-04-21,KG에코솔루션,151860,KQ,6710.0,6900.0,0,1.16
2026-04-22,KG에코솔루션,151860,KQ,6900.0,6900.0,1,1.32
2026-04-23,KG에코솔루션,151860,KQ,6950.0,6900.0,1,1.19
2026-04-24,KG에코솔루션,151860,KQ,7040.0,6950.0,1,1.29
2026-03-16,LX홀딩스,383800,KS,8130.0,9840.0,0,0.51
